when,stage,step,total,alpha,beta,loss,rmse,best_alpha,best_beta,best_loss,best_rmse,violation_rate
2025-10-17T19:36:18,stage1,1,156,0.0,0.3,0.918065,0.087467,,,inf,inf,0.053411
2025-10-17T19:36:24,stage1,2,156,0.0,0.5,0.720094,0.077465,0.0,0.3,0.9180649155960596,0.08746737084936586,0.000175
2025-10-17T19:36:31,stage1,3,156,0.0,0.7,0.663329,0.074349,0.0,0.5,0.720094352958689,0.07746474213896114,2.2e-05
2025-10-17T19:36:37,stage1,4,156,0.0,0.9,0.796313,0.081461,0.0,0.7,0.6633291124590395,0.074348790197456,1.7e-05
2025-10-17T19:36:44,stage1,5,156,0.0,1.1,0.876537,0.085466,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:36:50,stage1,6,156,0.0,1.3,0.859697,0.084641,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:36:57,stage1,7,156,0.0,1.5,0.888697,0.086057,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:03,stage1,8,156,0.0,1.7000000000000002,0.877066,0.085492,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:10,stage1,9,156,0.0,1.9000000000000001,0.877609,0.085518,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:16,stage1,10,156,0.0,2.1,0.86209,0.084759,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:23,stage1,11,156,0.0,2.3000000000000003,0.886665,0.085959,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:29,stage1,12,156,0.0,2.5,0.862569,0.084783,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:36,stage1,13,156,0.5,0.3,0.959552,0.089422,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:43,stage1,14,156,0.5,0.5,0.954187,0.089172,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:49,stage1,15,156,0.5,0.7,0.946283,0.088801,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
2025-10-17T19:37:56,stage1,16,156,0.5,0.9,0.712385,0.077049,0.0,0.7,0.6633291124590395,0.074348790197456,0.0
